,HC_mean,HC_std,SA_mean,SA_std
0,0.885941441350325,0.3159060894787356,1.096265873090551,0.4469600048334597
1,0.8737973498256958,0.22379936792553934,0.9110784365477891,0.3175093458124559
2,0.7085287092782726,0.33347248896976106,0.8505935972519258,0.5933453004752252
3,0.9343533380628124,0.3560468266282728,1.0807279930685785,0.2640752459493838
4,0.7271009956157913,0.35107041009227813,1.1048203505843415,0.37482247258372003
5,0.7100805054082521,0.3158528295019396,0.8511806437799292,0.40975458062118847
6,0.980585503271476,0.21896911079884987,1.0684694826771772,0.4375894144936645
7,0.619055515703594,0.3931183909582409,0.9488265703199359,0.32169754943577145
8,2.175473208956396,3.533125251430692,0.8285659702987834,0.3259908256175697
9,1.1010814116277514,0.26982660797088504,0.806884767022518,0.24031230672920406
